[QTableReport] Node 14 Q-Table Size: 66
[QTableReport] Q-Table contains entries:
State: Context[batt=1.0; buf=0.0; pop=1; tie=0.79; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=1; tie=0.79; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=1; tie=0.82; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=1; tie=0.82; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=5; tie=0.0; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=5; tie=0.0; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=5; tie=0.0; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=5; tie=0.98; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=5; tie=0.98; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=5; tie=0.98; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=1; tie=0.0; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=1; tie=0.44; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=1; tie=0.7; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=1; tie=0.77; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=3; tie=0.0; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=3; tie=0.0; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=3; tie=0.0; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=1; tie=0.17; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=1; tie=0.52; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=1; tie=0.76; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=1; tie=0.67; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=1; tie=0.73; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=1; tie=0.87; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=1; tie=0.87; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=1; tie=0.75; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=1; tie=0.98; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=1; tie=0.98; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=1; tie=0.98; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=3; tie=0.98; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=3; tie=0.98; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=3; tie=0.98; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=1; tie=0.91; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=1; tie=0.92; den=0.0] | Action: STORE = 0.0
