[QTableReport] Node 98 Q-Table Size: 27
[QTableReport] Q-Table contains entries:
State: Context[batt=1.0; buf=0.0; pop=3; tie=0.01; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=3; tie=0.01; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=3; tie=0.01; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=5; tie=0.0; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=5; tie=0.0; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=5; tie=0.0; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=4; tie=0.01; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=6; tie=0.0; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=6; tie=0.0; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=6; tie=0.0; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=5; tie=0.01; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=5; tie=0.01; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=5; tie=0.01; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=7; tie=0.0; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=7; tie=0.0; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=7; tie=0.0; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=6; tie=0.01; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=6; tie=0.01; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=6; tie=0.01; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=1; tie=0.0; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=1; tie=0.0; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=7; tie=0.01; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=7; tie=0.01; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=7; tie=0.01; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=2; tie=0.0; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=2; tie=0.0; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=3; tie=0.0; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=3; tie=0.0; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=4; tie=0.0; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=1; tie=0.01; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=1; tie=0.01; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=2; tie=0.01; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=2; tie=0.01; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=2; tie=0.01; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=5; tie=0.04; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=5; tie=0.04; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=5; tie=0.04; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=6; tie=0.03; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=6; tie=0.03; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=6; tie=0.03; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=6; tie=0.04; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=6; tie=0.04; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=6; tie=0.04; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=7; tie=0.03; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=7; tie=0.03; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=7; tie=0.03; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=7; tie=0.04; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=7; tie=0.04; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=7; tie=0.04; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=5; tie=0.03; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=5; tie=0.03; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=5; tie=0.03; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=3; tie=0.02; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=3; tie=0.02; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=3; tie=0.02; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=4; tie=0.02; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=5; tie=0.02; den=0.0] | Action: STORE = 0.0
