[QTableReport] Node 4 Q-Table Size: 116
[QTableReport] Q-Table contains entries:
State: Context[batt=1.0; buf=0.0; pop=3; tie=0.83; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=3; tie=0.83; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=3; tie=0.83; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=2; tie=0.36; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=2; tie=0.36; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=2; tie=0.36; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=2; tie=0.76; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=2; tie=0.76; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=2; tie=0.76; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=2; tie=0.44; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=2; tie=0.44; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=2; tie=0.44; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=2; tie=0.7; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=2; tie=0.7; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=2; tie=0.7; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=2; tie=0.05; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=2; tie=0.05; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=2; tie=0.05; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=2; tie=0.07; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=2; tie=0.07; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=2; tie=0.07; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=2; tie=0.17; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=2; tie=0.17; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=2; tie=0.17; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=2; tie=0.51; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=2; tie=0.51; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=2; tie=0.51; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=3; tie=0.8; den=0.0] | Action: STORE = 0.0
State: Context[batt=1.0; buf=0.0; pop=3; tie=0.8; den=0.0] | Action: FORWARD = 0.0
State: Context[batt=1.0; buf=0.0; pop=3; tie=0.8; den=0.0] | Action: DROP = 0.0
State: Context[batt=1.0; buf=0.0; pop=2; tie=0.01; den=0.0] | Action: STORE = 0.0
